Scode,Coname,NewsDt,NewsID,Newsmedia,Buyernm,Sellernm,Subnm,Eqtrart,MAprice,Currut,Ifrumor,State,corporation_name
603009,北特科技,2017-09-20,M1719945705,金融界,北特科技,董巍、董荣镛等,光裕股份股权,100.00%,4.73,人民币,否,无,光裕股份股权
603010,万盛股份,2015-06-02,E2060941179,东方财富网,万盛股份,无,大伟助剂100%股权,100.00%,3.5,人民币,否,无,大伟助剂100%股权
603011,合锻股份,2015-09-20,G1079042578,凤凰财经,合锻股份,无,安徽中科光电色选机械有限公司100%股权,100.00%,6.6,人民币,否,无,安徽中科光电色选机械有限公司100%股权
603016,新宏泰,2017-08-01,E967542845,界面,新宏泰,天宜上佳,天宜上佳100%股权,100.00%,43.2,人民币,否,无,天宜上佳
603017,中衡设计,2015-09-21,R705921720,新财界,中衡设计,卓创国际股东,重庆卓创国际工程设计有限公司股权,100.00%,5.98,人民币,否,无,卓创国际股东
603018,设计股份,2015-03-29,P2016324174,凤凰财经,设计股份,无,宁夏公路院67%的股权,67.00%,3.1,人民币,否,无,宁夏公路院67%的股权
603027,千禾味业,2019-08-26,P92020653,证券时报网,千禾味业,无,镇江恒康酱醋有限公司100%股权的,100%,1.5,人民币,否,无,镇江恒康酱醋有限公司100%股权的
603043,广州酒家,2019-07-19,P59065199,和讯网,广州酒家,广州国有资产管理集团有限公司,陶陶居公司100%股权,100%,1.998,人民币,否,无,陶陶居公司100%股权
603066,音飞储存,2018-05-07,M1843495089,东方财富网,音飞储存,华德拓展,华德仓储100%的股权,100.00%,4.56,人民币,否,无,华德拓展
603077,和邦股份,2013-11-28,K1704951423,搜狐,和邦股份,省盐总公司,和邦农科股权,51.00%,8.14,人民币,否,无,省盐总公司
603080,新疆火炬,2019-06-27,M1235790775,每经网,新疆火炬,光正集团,光正燃气51%的股权,51%,2.73,人民币,否,无,光正集团
603085,天成自控,2018-06-29,M207344832,东方财富网,天成自控,无,一家专注于航空航天市场的产品和服务提供商,0,10.0,人民币,否,无,一家专注于航空航天市场的产品和服务提供商
603108,润达医疗,2019-09-26,N1934314840,和讯网,润达医疗,上海润达盛瑚投资管理中心(有限合伙)；上海润祺投资管理中心(有限合伙),杭州怡丹12%股权；上海瑞美15%股权,杭州怡丹12%股权；上海瑞美15%股权,1.15,人民币,否,无,杭州怡丹12%股权；上海瑞美15%股权
603111,康尼机电,2017-09-20,P17474615,中证网,康尼机电,无,龙昕科技100%股权,100.00%,34.0,人民币,否,无,龙昕科技100%股权
603123,翠微股份,2013-12-13,G2085607494,网易,翠微股份,海淀国资中心,当代商城、甘家口大厦的全部股权,当代商城100%；甘家口大厦100%,24.6,人民币,否,无,海淀国资中心
603128,华贸物流,2015-11-25,C1229175795,和讯网,华贸物流,无,中特物流100%股权,100.00%,12.0,人民币,否,无,中特物流100%股权
603131,上海沪工,2018-05-31,P412718814,大众证券,上海沪工,许宝瑞、任文波、冯立等八名股东,航天华宇100%股权,100.00%,5.8,人民币,否,无,航天华宇100%股权
603168,莎普爱思,2015-11-12,H1425569585,东方财富网,莎普爱思,无,强身药业股权,100.00%,3.46,人民币,否,无,强身药业股权
